gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
USP17L5,ENSG00000227140,ENST00000507227,transcript,ENSG00000227140,0.007750015,0.007761567
USP17L13,ENSG00000232399,ENST00000429667,transcript,ENSG00000232399,0.242056277,0.242537464
RGPD6,ENSG00000183054,ENST00000329516,transcript,ENSG00000183054,0.132744304,0.283200815
MAGED4,ENSG00000154545,ENST00000375626,transcript,ENSG00000154545,1.403111819,0.665204509
NPIPB5,ENSG00000243716,ENST00000424340,transcript,ENSG00000243716,0.636097813,0.718096288
PRAMEF15,ENSG00000157358,ENST00000330087,transcript,ENSG00000157358,0.538491818,0.719829671
AMY1B,ENSG00000174876,ENST00000330330,transcript,ENSG00000174876,0.64861588,0.772808982
DEFB105B,ENSG00000186599,ENST00000335510,transcript,ENSG00000186599,0.835011114,0.843456066
PRAMEF3,ENSG00000204503,ENST00000376173,transcript,ENSG00000204503,1.105203829,0.872820163
EIF3CL,ENSG00000205609,ENST00000398943,transcript,ENSG00000205609,0.94528727,0.947494389
SPACA5B,ENSG00000171478,ENST00000304270,transcript,ENSG00000171478,0.991882261,0.978381781
GRAPL,ENSG00000189152,ENST00000344415,transcript,ENSG00000189152,1.32768519,1.053895197
AGAP10,ENSG00000204172,ENST00000413193,transcript,ENSG00000204172,0.75625219,1.206911541
DEFB130,ENSG00000233050,ENST00000437818,transcript,ENSG00000233050,1.264020738,1.264777603
RPS17,ENSG00000184779,ENST00000330339,transcript,ENSG00000184779,1.354614506,1.295081484
KM-PA-2,ENSG00000204775,ENST00000377412,transcript,ENSG00000204775,1.312671493,1.312000558
GOLGA6L10,ENSG00000205281,ENST00000439287,transcript,ENSG00000205281,1.141799386,1.377738952
SSX4,ENSG00000204645,ENST00000376886,transcript,ENSG00000204645,2.571293419,1.473128252
NPIPB3,ENSG00000169246,ENST00000458643,transcript,ENSG00000169246,1.237598472,1.505393675
NBPF11,ENSG00000152042,ENST00000605317,transcript,ENSG00000152042,1.103326493,1.636978469
SPACA5,ENSG00000171489,ENST00000304355,transcript,ENSG00000171489,3.590927626,1.644921518
ANXA8L1,ENSG00000150165,ENST00000359178,transcript,ENSG00000150165,1.13121767,1.789595838
RP11-347C12.1,ENSG00000198064,ENST00000520915,transcript,ENSG00000198064,1.169743882,1.812879547
PGA4,ENSG00000229183,ENST00000378149,transcript,ENSG00000229183,1.804167523,1.991368355
CT45A6,ENSG00000226907,ENST00000491002,transcript,ENSG00000226907,2.817708265,2.006664594
PABPC1L2A,ENSG00000186288,ENST00000373519,transcript,ENSG00000186288,5.995719949,2.07426155
AMY1A,ENSG00000237763,ENST00000370083,transcript,ENSG00000237763,1.446337756,2.075844444
ZNF140,ENSG00000196387,ENST00000355557,transcript,ENSG00000196387,2.613388598,2.103570584
NPIPA2,ENSG00000254852,ENST00000553201,transcript,ENSG00000254852,2.135901682,2.132843324
GAGE2B,ENSG00000231850,ENST00000381725,transcript,ENSG00000231850,2.001576823,2.309824655
TRIM49D1,ENSG00000223417,ENST00000530311,transcript,ENSG00000223417,6.122915059,2.313754326
RIMBP3B,ENSG00000196934,ENST00000434111,transcript,ENSG00000196934,2.136915252,2.323625697
SPATA31A1,ENSG00000204849,ENST00000377647,transcript,ENSG00000204849,3.010049756,2.333532206
GAGE13,ENSG00000237597,ENST00000381751,transcript,ENSG00000237597,1.946930448,2.357926113
RGPD1,ENSG00000187627,ENST00000559485,transcript,ENSG00000187627,3.432235052,2.400723999
PABPC1L2B,ENSG00000184388,ENST00000373521,transcript,ENSG00000184388,9.325897183,2.517518967
NBPF24,ENSG00000203836,ENST00000369228,transcript,ENSG00000203836,2.508743744,2.574102926
RP13-996F3.4,ENSG00000259243,ENST00000557886,transcript,ENSG00000259243,2.207448228,2.601178741
PRAMEF19,ENSG00000204480,ENST00000540591,transcript,ENSG00000204480,1.926848961,2.607154939
GATSL2,ENSG00000198750,ENST00000426327,transcript,ENSG00000198750,2.931409114,2.656818957
SRSF10,ENSG00000188529,ENST00000492112,transcript,ENSG00000188529,2.680665896,2.785428757
ZNF705D,ENSG00000215343,ENST00000400085,transcript,ENSG00000215343,3.452337937,2.78878918
PRAMEF13,ENSG00000204495,ENST00000376132,transcript,ENSG00000204495,2.803518864,2.793830456
SMN2,ENSG00000205571,ENST00000380743,transcript,ENSG00000205571,3.196291262,2.868170025
AGAP8,ENSG00000174194,ENST00000425119,transcript,ENSG00000174194,2.721452814,2.895582803
PRAMEF16,ENSG00000204488,ENST00000376121,transcript,ENSG00000204488,2.629513987,2.936084279
FAM90A26,ENSG00000229924,ENST00000512047,transcript,ENSG00000229924,3.178118421,2.939205695
SPDYE2B,ENSG00000173678,ENST00000507450,transcript,ENSG00000173678,3.420408737,2.99719788
MRC1,ENSG00000120586,ENST00000239761,transcript,ENSG00000120586,3.291669648,3.020497564
TBC1D3G,ENSG00000161583,ENST00000341264,transcript,ENSG00000161583,3.967627336,3.083033802
USP17L10,ENSG00000231396,ENST00000417945,transcript,ENSG00000231396,3.131326781,3.131481189
MAGEA9B,ENSG00000123584,ENST00000243314,transcript,ENSG00000123584,5.94371679,3.1658333
ANKRD20A3,ENSG00000132498,ENST00000254835,transcript,ENSG00000132498,3.283974459,3.294671217
NPIPA7,ENSG00000214967,ENST00000530217,transcript,ENSG00000214967,3.720555399,3.303998651
EIF3C,ENSG00000184110,ENST00000331666,transcript,ENSG00000184110,3.190509168,3.358450042
SSX4B,ENSG00000198946,ENST00000376884,transcript,ENSG00000198946,3.209445008,3.406756496
NBPF16,ENSG00000203827,ENST00000417839,transcript,ENSG00000203827,3.082453429,3.462586361
F8A1,ENSG00000197932,ENST00000369446,transcript,ENSG00000197932,11.40260682,3.465099441
PTPN20A,ENSG00000204179,ENST00000374339,transcript,ENSG00000204179,3.471324675,3.478993549
NXF2,ENSG00000185554,ENST00000395088,transcript,ENSG00000185554,3.053957404,3.517744082
NPIPA8,ENSG00000214940,ENST00000525596,transcript,ENSG00000214940,2.714861161,3.556329064
NPIPB9,ENSG00000196993,ENST00000550983,transcript,ENSG00000196993,3.192648418,3.596472019
GAGE2D,ENSG00000240257,ENST00000404720,transcript,ENSG00000240257,2.818426618,3.707277249
SMN1,ENSG00000172062,ENST00000380707,transcript,ENSG00000172062,3.700889141,3.723695765
SULT1A4,ENSG00000213648,ENST00000395400,transcript,ENSG00000213648,4.832902596,3.726537003
NPIPB8,ENSG00000255524,ENST00000529716,transcript,ENSG00000255524,4.230916977,3.840270985
GAGE12H,ENSG00000224902,ENST00000381722,transcript,ENSG00000224902,3.088266171,3.861352824
PRAMEF18,ENSG00000204491,ENST00000376126,transcript,ENSG00000204491,3.873180778,3.885203503
PRAMEF14,ENSG00000204481,ENST00000334600,transcript,ENSG00000204481,1.346491156,3.936796823
GOLGA8B,ENSG00000215252,ENST00000267731,transcript,ENSG00000215252,7.794798382,3.943971037
AGAP4,ENSG00000188234,ENST00000448048,transcript,ENSG00000188234,4.192178805,4.013350321
SULT1A3,ENSG00000261052,ENST00000395137,transcript,ENSG00000261052,4.771526104,4.072628965
BOP1,ENSG00000170727,ENST00000307404,transcript,ENSG00000170727,5.221078603,4.132825322
OR2T29,ENSG00000182783,ENST00000328570,transcript,ENSG00000182783,4.026411547,4.136809036
RGPD2,ENSG00000185304,ENST00000398146,transcript,ENSG00000185304,5.696683626,4.193732467
GOLGA8G,ENSG00000183629,ENST00000525590,transcript,ENSG00000183629,4.87113182,4.319880455
C4A,ENSG00000244731,ENST00000428956,transcript,ENSG00000244731,3.549522502,4.41520302
PLGLB1,ENSG00000183281,ENST00000355705,transcript,ENSG00000183281,4.87720275,4.415781374
RP13-996F3.5,ENSG00000215749,ENST00000559949,transcript,ENSG00000215749,4.464185377,4.532923263
OR2T5,ENSG00000203661,ENST00000366473,transcript,ENSG00000203661,4.360455388,4.604405287
USP17L17,ENSG00000249104,ENST00000511568,transcript,ENSG00000249104,4.658556817,4.667346547
C4B,ENSG00000224389,ENST00000435363,transcript,ENSG00000224389,2.895548605,4.70541772
PTPN20B,ENSG00000183675,ENST00000374233,transcript,ENSG00000183675,5.049906795,4.730652145
RHOXF2B,ENSG00000203989,ENST00000371402,transcript,ENSG00000203989,4.441130218,4.742400907
MBD3L4,ENSG00000205718,ENST00000381394,transcript,ENSG00000205718,5.349246619,4.757952266
DEFB107B,ENSG00000198129,ENST00000355602,transcript,ENSG00000198129,5.857393109,4.766765
ANKRD20A2,ENSG00000183148,ENST00000377601,transcript,ENSG00000183148,3.506180444,4.808389323
AMY1C,ENSG00000187733,ENST00000370079,transcript,ENSG00000187733,4.894998441,4.829080169
FAM21B,ENSG00000152726,ENST00000358474,transcript,ENSG00000152726,4.750965298,4.860234673
FAM203A,ENSG00000235173,ENST00000347708,transcript,ENSG00000235173,6.586063648,4.90667797
CCL3L3,ENSG00000256515,ENST00000378354,transcript,ENSG00000256515,6.068956399,5.081097855
GOLGA8F,ENSG00000153684,ENST00000532622,transcript,ENSG00000153684,3.944911286,5.091441008
SPDYE2,ENSG00000205238,ENST00000507918,transcript,ENSG00000205238,12.26724909,5.118616931
NBPF12,ENSG00000186275,ENST00000442909,transcript,ENSG00000186275,4.943705274,5.127593943
PRAMEF20,ENSG00000204478,ENST00000316412,transcript,ENSG00000204478,5.931138941,5.138768061
AREGB,ENSG00000205595,ENST00000380846,transcript,ENSG00000205595,5.582284611,5.274153567
GAGE12J,ENSG00000224659,ENST00000442437,transcript,ENSG00000224659,5.632129378,5.277018765
OPN1MW2,ENSG00000166160,ENST00000369929,transcript,ENSG00000166160,6.213697968,5.412960279
CCL4L1,ENSG00000205020,ENST00000444414,transcript,ENSG00000205020,3.624633353,5.505534572
ZNF605,ENSG00000196458,ENST00000392321,transcript,ENSG00000196458,2.911320527,5.516345095
MRC1L1,ENSG00000183748,ENST00000331429,transcript,ENSG00000183748,5.909328473,5.692321532
PRAMEF6,ENSG00000232423,ENST00000376189,transcript,ENSG00000232423,6.591799752,5.73302499
POTED,ENSG00000166351,ENST00000299443,transcript,ENSG00000166351,5.762836597,5.757267992
PPIAL4A,ENSG00000255963,ENST00000539781,transcript,ENSG00000255963,6.598201401,5.766289024
PPIP5K1,ENSG00000168781,ENST00000420765,transcript,ENSG00000168781,5.013583561,5.779035327
TMEM236,ENSG00000148483,ENST00000377495,transcript,ENSG00000148483,6.306178054,5.85517959
POTEB2,ENSG00000230031,ENST00000454856,transcript,ENSG00000230031,6.388915378,5.880162068
NAIP,ENSG00000249437,ENST00000517649,transcript,ENSG00000249437,5.810876865,5.880732599
POTEB,ENSG00000233917,ENST00000439682,transcript,ENSG00000233917,6.922393891,5.962288997
AL592284.1,ENSG00000231360,ENST00000538264,transcript,ENSG00000231360,6.807904103,5.978524997
NBPF20,ENSG00000203832,ENST00000369202,transcript,ENSG00000203832,6.490313622,5.980031059
ZNF705B,ENSG00000215356,ENST00000443676,transcript,ENSG00000215356,5.576542804,5.989877046
NXF2B,ENSG00000185945,ENST00000457521,transcript,ENSG00000185945,4.632644217,6.001055992
SPATA31A2,ENSG00000204848,ENST00000456183,transcript,ENSG00000204848,5.994347536,6.032610234
GSTT2B,ENSG00000133433,ENST00000290765,transcript,ENSG00000133433,5.768599156,6.091613183
PNRC2,ENSG00000189266,ENST00000334351,transcript,ENSG00000189266,4.291345365,6.172905046
PRAMEF17,ENSG00000204479,ENST00000376098,transcript,ENSG00000204479,6.583445265,6.209592312
GOLGA8O,ENSG00000206127,ENST00000509311,transcript,ENSG00000206127,6.527195392,6.244549959
PLGLB2,ENSG00000125551,ENST00000359481,transcript,ENSG00000125551,12.12635806,6.260790178
CTAGE4,ENSG00000225932,ENST00000486333,transcript,ENSG00000225932,6.56976624,6.39381906
ASAH2,ENSG00000188611,ENST00000395526,transcript,ENSG00000188611,6.213318153,6.40068966
SERF1B,ENSG00000205572,ENST00000380750,transcript,ENSG00000205572,3.846247843,6.43174548
GTF2H2,ENSG00000145736,ENST00000330280,transcript,ENSG00000145736,6.239961845,6.503032581
CTAGE15,ENSG00000271079,ENST00000420911,transcript,ENSG00000271079,6.010308446,6.522647232
ARL17B,ENSG00000228696,ENST00000450673,transcript,ENSG00000228696,7.745248121,6.58659031
GOLGA6L6,ENSG00000215405,ENST00000427390,transcript,ENSG00000215405,7.732852643,6.608017629
KIR3DL3,ENSG00000242019,ENST00000291860,transcript,ENSG00000242019,7.943997547,6.67829562
NBPF6,ENSG00000186086,ENST00000444143,transcript,ENSG00000186086,7.351662198,6.769077793
IKBKG,ENSG00000073009,ENST00000369609,transcript,ENSG00000073009,8.692348857,6.805050042
FRG2,ENSG00000205097,ENST00000378763,transcript,ENSG00000205097,7.625545085,6.816659117
PRAMEF22,ENSG00000204508,ENST00000376187,transcript,ENSG00000204508,6.910387859,6.891868206
OPN1MW,ENSG00000147380,ENST00000369935,transcript,ENSG00000147380,7.324599549,6.896586405
AC104057.1,ENSG00000269558,ENST00000593865,transcript,ENSG00000269558,5.424427882,6.903875325
VCX2,ENSG00000177504,ENST00000317103,transcript,ENSG00000177504,11.78829285,6.913494491
LGALS7,ENSG00000205076,ENST00000378626,transcript,ENSG00000205076,6.588515645,6.971265233
SLX1B,ENSG00000181625,ENST00000330181,transcript,ENSG00000181625,7.979708044,6.973669959
MMP23B,ENSG00000189409,ENST00000356026,transcript,ENSG00000189409,7.09830459,7.001490419
GAGE2C,ENSG00000236249,ENST00000381708,transcript,ENSG00000236249,5.632879407,7.079265132
CKMT1B,ENSG00000237289,ENST00000300283,transcript,ENSG00000237289,6.627380496,7.116285712
GAGE1,ENSG00000205777,ENST00000381700,transcript,ENSG00000205777,6.628074007,7.239658047
GOLGA6L1,ENSG00000197414,ENST00000316397,transcript,ENSG00000197414,8.118707171,7.27065751
GOLGA8N,ENSG00000232653,ENST00000448387,transcript,ENSG00000232653,7.934707611,7.280035316
GOLGA8A,ENSG00000175265,ENST00000360553,transcript,ENSG00000175265,8.092849285,7.304614731
ASAH2B,ENSG00000204147,ENST00000374006,transcript,ENSG00000204147,14.30695382,7.502433869
DDT,ENSG00000099977,ENST00000398344,transcript,ENSG00000099977,6.799709031,7.508040336
TBC1D3C,ENSG00000234972,ENST00000457979,transcript,ENSG00000234972,7.982703508,7.575383855
NUTM2E,ENSG00000228570,ENST00000429984,transcript,ENSG00000228570,7.058376171,7.587946693
LRRC37A,ENSG00000176681,ENST00000320254,transcript,ENSG00000176681,7.067178895,7.648807664
CT45A5,ENSG00000242284,ENST00000463085,transcript,ENSG00000242284,6.01120685,7.793938102
DMRTC1,ENSG00000159123,ENST00000373529,transcript,ENSG00000159123,7.137858659,7.895026555
RHOXF2,ENSG00000131721,ENST00000371388,transcript,ENSG00000131721,7.389675386,7.905395347
NBPF4,ENSG00000196427,ENST00000415641,transcript,ENSG00000196427,7.902512498,7.912002746
POTEI,ENSG00000196834,ENST00000451531,transcript,ENSG00000196834,8.615209632,7.926519417
PGA3,ENSG00000229859,ENST00000325558,transcript,ENSG00000229859,10.30047156,8.098581759
OR4F5,ENSG00000186092,ENST00000335137,transcript,ENSG00000186092,8.123045534,8.113166995
H2AFB1,ENSG00000198082,ENST00000354461,transcript,ENSG00000198082,8.7094147,8.11738029
FAM163B,ENSG00000196990,ENST00000496132,transcript,ENSG00000196990,9.730150241,8.201427901
NPIPB7,ENSG00000233232,ENST00000452313,transcript,ENSG00000233232,8.665083227,8.22438612
OR2A42,ENSG00000212807,ENST00000391496,transcript,ENSG00000212807,5.258384745,8.288283978
GOLGA8R,ENSG00000186399,ENST00000327271,transcript,ENSG00000186399,8.158264386,8.365346021
MBD3L2,ENSG00000230522,ENST00000381393,transcript,ENSG00000230522,10.30696441,8.510080754
GSTT2,ENSG00000099984,ENST00000215780,transcript,ENSG00000099984,7.862952507,8.557824767
NPIPB6,ENSG00000198156,ENST00000532254,transcript,ENSG00000198156,6.995795322,8.564607593
ASAH2C,ENSG00000072444,ENST00000426610,transcript,ENSG00000072444,8.674293501,8.694276369
POLR2J2,ENSG00000228049,ENST00000591000,transcript,ENSG00000228049,11.3185511,8.718165103
SPATA31A3,ENSG00000147926,ENST00000356699,transcript,ENSG00000147926,9.627589271,8.721581971
CBWD5,ENSG00000147996,ENST00000377395,transcript,ENSG00000147996,5.412873358,8.790072913
GTF2IRD2,ENSG00000196275,ENST00000405086,transcript,ENSG00000196275,7.813221058,8.790203662
CLEC18C,ENSG00000157335,ENST00000569347,transcript,ENSG00000157335,8.595318741,8.866189364
AC139426.2,ENSG00000233812,ENST00000435655,transcript,ENSG00000233812,9.799600325,8.930249119
CBWD3,ENSG00000196873,ENST00000360171,transcript,ENSG00000196873,9.443878517,8.931194568
CKMT1A,ENSG00000223572,ENST00000413453,transcript,ENSG00000223572,8.620068554,9.069827976
FAM115C,ENSG00000170379,ENST00000444908,transcript,ENSG00000170379,6.906350602,9.111466765
GPR42,ENSG00000126251,ENST00000454971,transcript,ENSG00000126251,15.42043727,9.337654239
RGPD8,ENSG00000169629,ENST00000302558,transcript,ENSG00000169629,8.60566394,9.381392782
NPIPB4,ENSG00000185864,ENST00000415645,transcript,ENSG00000185864,10.62335187,9.603160421
KIR2DL4,ENSG00000189013,ENST00000345540,transcript,ENSG00000189013,9.383782098,9.719397455
GOLGA8Q,ENSG00000178115,ENST00000562783,transcript,ENSG00000178115,9.60506126,9.779755729
SPATA31A7,ENSG00000234734,ENST00000355045,transcript,ENSG00000234734,9.140960603,9.813848887
TRIM73,ENSG00000178809,ENST00000323819,transcript,ENSG00000178809,9.003402023,9.874583715
NOMO3,ENSG00000103226,ENST00000399336,transcript,ENSG00000103226,9.154944845,9.903627043
TBC1D3B,ENSG00000224226,ENST00000454519,transcript,ENSG00000224226,11.20865972,10.0266812
CBWD6,ENSG00000204790,ENST00000377457,transcript,ENSG00000204790,9.754030394,10.03722373
MBD3L5,ENSG00000237247,ENST00000329753,transcript,ENSG00000237247,10.98047517,10.2545137
POTEM,ENSG00000187537,ENST00000551509,transcript,ENSG00000187537,10.87849282,10.33766441
GPR89B,ENSG00000188092,ENST00000314163,transcript,ENSG00000188092,6.278608186,10.35070781
MROH1,ENSG00000179832,ENST00000528919,transcript,ENSG00000179832,11.93046691,10.37113372
AREG,ENSG00000109321,ENST00000395748,transcript,ENSG00000109321,7.942303166,10.37901695
CCL4L2,ENSG00000197262,ENST00000394465,transcript,ENSG00000197262,9.628479231,10.43311961
TBC1D3F,ENSG00000185128,ENST00000327454,transcript,ENSG00000185128,10.78443101,10.49375718
PLA2G10,ENSG00000069764,ENST00000438167,transcript,ENSG00000069764,12.99001662,10.50543702
OR2T35,ENSG00000177151,ENST00000317450,transcript,ENSG00000177151,10.57708056,10.55846574
NUTM2A,ENSG00000184923,ENST00000381707,transcript,ENSG00000184923,10.60868867,10.57715576
PRAMEF7,ENSG00000204510,ENST00000361079,transcript,ENSG00000204510,14.01126413,10.72126272
VCX3B,ENSG00000205642,ENST00000381032,transcript,ENSG00000205642,12.54390962,10.72285294
FAM21A,ENSG00000099290,ENST00000282633,transcript,ENSG00000099290,9.649417789,10.7301639
ANXA8L2,ENSG00000186807,ENST00000374277,transcript,ENSG00000186807,10.08020098,10.73627532
RP11-347C12.3,ENSG00000258130,ENST00000550538,transcript,ENSG00000258130,9.796592489,10.75041237
DEFB107A,ENSG00000186572,ENST00000335021,transcript,ENSG00000186572,13.75101008,10.75543107
GOLGA8T,ENSG00000261247,ENST00000569052,transcript,ENSG00000261247,10.11240384,10.83644774
GTF2H2C,ENSG00000183474,ENST00000510979,transcript,ENSG00000183474,12.18125786,10.85810008
GOLGA6D,ENSG00000140478,ENST00000434739,transcript,ENSG00000140478,10.70442185,10.8992774
RP11-1118M6.1,ENSG00000255251,ENST00000533250,transcript,ENSG00000255251,10.45714443,10.90620648
AL603965.1,ENSG00000215033,ENST00000335083,transcript,ENSG00000215033,10.16239109,10.91752897
GTF2IRD2B,ENSG00000174428,ENST00000312575,transcript,ENSG00000174428,10.9083017,11.03368868
RASA4B,ENSG00000170667,ENST00000541662,transcript,ENSG00000170667,10.9643887,11.09022254
TCEB3CL2,ENSG00000266996,ENST00000591973,transcript,ENSG00000266996,10.18698298,11.09127357
DUX4L4,ENSG00000258834,ENST00000538692,transcript,ENSG00000258834,11.11468054,11.09472522
DEFB104B,ENSG00000177023,ENST00000316169,transcript,ENSG00000177023,11.7467453,11.11398716
NPIPA1,ENSG00000183426,ENST00000328085,transcript,ENSG00000183426,12.066137,11.28138605
NBPF15,ENSG00000243452,ENST00000442702,transcript,ENSG00000243452,14.30184649,11.32796257
CLEC18A,ENSG00000157322,ENST00000288040,transcript,ENSG00000157322,11.13316857,11.41344048
RASA4,ENSG00000105808,ENST00000262940,transcript,ENSG00000105808,11.71271249,11.50893367
NPIPA5,ENSG00000183793,ENST00000360151,transcript,ENSG00000183793,12.18080184,11.62859593
CFC1,ENSG00000136698,ENST00000259216,transcript,ENSG00000136698,11.47916041,11.72171273
TRIM49C,ENSG00000204449,ENST00000448984,transcript,ENSG00000204449,13.92628665,11.8247558
RSPH10B2,ENSG00000169402,ENST00000403107,transcript,ENSG00000169402,12.18144691,11.85622545
CCL3L1,ENSG00000205021,ENST00000422211,transcript,ENSG00000205021,11.51516577,12.38242523
GSTM1,ENSG00000134184,ENST00000309851,transcript,ENSG00000134184,11.80822045,12.39730568
FAM106A,ENSG00000213077,ENST00000392176,transcript,ENSG00000213077,15.81714381,12.57954162
ARHGEF35,ENSG00000213214,ENST00000378115,transcript,ENSG00000213214,7.499954776,12.59557307
FAM230A,ENSG00000188280,ENST00000434783,transcript,ENSG00000188280,14.91142846,12.61603733
GOLGA6L4,ENSG00000184206,ENST00000510439,transcript,ENSG00000184206,12.65004039,12.6769822
GRAP,ENSG00000154016,ENST00000284154,transcript,ENSG00000154016,13.30279633,12.78585391
ZNF717,ENSG00000227124,ENST00000422325,transcript,ENSG00000227124,15.78757585,12.83930917
RSPH10B,ENSG00000155026,ENST00000405415,transcript,ENSG00000155026,11.96699907,12.93958163
HSPA1B,ENSG00000204388,ENST00000375650,transcript,ENSG00000204388,14.30319229,13.11044347
OR2A4,ENSG00000180658,ENST00000315453,transcript,ENSG00000180658,13.56210681,13.18222215
FOXD4L6,ENSG00000204793,ENST00000377473,transcript,ENSG00000204793,11.61930747,13.18325456
RP11-467N20.5,ENSG00000259455,ENST00000558241,transcript,ENSG00000259455,12.12939302,13.19934169
SPIN2B,ENSG00000186787,ENST00000333933,transcript,ENSG00000186787,16.46027179,13.26703508
GOLGA8K,ENSG00000249931,ENST00000512626,transcript,ENSG00000249931,12.3052647,13.31784924
STRC,ENSG00000242866,ENST00000450892,transcript,ENSG00000242866,16.92099615,13.33124757
VCX,ENSG00000182583,ENST00000381059,transcript,ENSG00000182583,14.57259853,13.34500231
GOLGA6B,ENSG00000215186,ENST00000421285,transcript,ENSG00000215186,11.25036312,13.34895576
GOLGA8J,ENSG00000179938,ENST00000567927,transcript,ENSG00000179938,10.82817602,13.39931718
SPIN2A,ENSG00000147059,ENST00000374908,transcript,ENSG00000147059,16.5923483,13.42226654
FAM153A,ENSG00000170074,ENST00000440605,transcript,ENSG00000170074,12.21654297,13.4287558
ANKRD20A4,ENSG00000172014,ENST00000357336,transcript,ENSG00000172014,13.52008114,13.43437556
DEFB105A,ENSG00000186562,ENST00000334773,transcript,ENSG00000186562,13.38340973,13.50849962
TPSB2,ENSG00000197253,ENST00000430512,transcript,ENSG00000197253,14.71569544,13.53900574
AP003062.1,ENSG00000268936,ENST00000597621,transcript,ENSG00000268936,16.43672742,13.63717252
ARMCX6,ENSG00000198960,ENST00000539247,transcript,ENSG00000198960,19.76809864,13.69065668
FOXD4L5,ENSG00000204779,ENST00000377420,transcript,ENSG00000204779,10.10017314,13.74882332
LCE3B,ENSG00000187238,ENST00000335633,transcript,ENSG00000187238,13.76980903,13.76075439
ANKRD20A1,ENSG00000196774,ENST00000377477,transcript,ENSG00000196774,11.85312787,13.77407607
HLA-DRB5,ENSG00000198502,ENST00000374975,transcript,ENSG00000198502,13.10361327,13.93218449
VCX3A,ENSG00000169059,ENST00000381089,transcript,ENSG00000169059,15.75735185,13.97866961
SPAG11A,ENSG00000178287,ENST00000326558,transcript,ENSG00000178287,15.25791424,14.05204358
TIMM23,ENSG00000138297,ENST00000260867,transcript,ENSG00000138297,11.60368329,14.06132231
CGB,ENSG00000104827,ENST00000357383,transcript,ENSG00000104827,13.7901261,14.08081644
NOMO2,ENSG00000185164,ENST00000381474,transcript,ENSG00000185164,13.83547508,14.09872602
USP17L18,ENSG00000250844,ENST00000504209,transcript,ENSG00000250844,14.15761343,14.18399942
LCE3C,ENSG00000244057,ENST00000333881,transcript,ENSG00000244057,14.06288706,14.19491135
OPN1LW,ENSG00000102076,ENST00000369951,transcript,ENSG00000102076,15.88158155,14.51164942
TMEM185A,ENSG00000155984,ENST00000316916,transcript,ENSG00000155984,13.49432193,14.54319076
WBSCR16,ENSG00000174374,ENST00000329959,transcript,ENSG00000174374,12.85082652,14.54497589
CTAGE6,ENSG00000271321,ENST00000470691,transcript,ENSG00000271321,13.20894088,14.58969936
FAM86B2,ENSG00000145002,ENST00000262365,transcript,ENSG00000145002,14.3071261,14.59649088
TRIM74,ENSG00000155428,ENST00000285805,transcript,ENSG00000155428,18.35841572,14.64582441
SIGLEC14,ENSG00000254415,ENST00000360844,transcript,ENSG00000254415,17.5747844,14.66045928
PRR21,ENSG00000221961,ENST00000408934,transcript,ENSG00000221961,14.94828688,14.89871651
FAM27E1,ENSG00000237198,ENST00000377525,transcript,ENSG00000237198,14.19874482,15.08740423
LGALS9B,ENSG00000170298,ENST00000324290,transcript,ENSG00000170298,14.85639102,15.31303835
HSPA1A,ENSG00000204389,ENST00000375651,transcript,ENSG00000204389,21.41184136,15.34285824
PDPK1,ENSG00000140992,ENST00000342085,transcript,ENSG00000140992,14.33452164,15.41296575
TRIM43,ENSG00000144015,ENST00000272395,transcript,ENSG00000144015,18.59459285,15.42753293
HBG1,ENSG00000213934,ENST00000330597,transcript,ENSG00000213934,16.63722358,15.46820749
CT47B1,ENSG00000236446,ENST00000371311,transcript,ENSG00000236446,16.27553429,15.49121781
LRRC37A2,ENSG00000238083,ENST00000576629,transcript,ENSG00000238083,15.45051028,15.66926823
GOLGA6C,ENSG00000167195,ENST00000300576,transcript,ENSG00000167195,14.97088237,15.68793171
SPANXC,ENSG00000198573,ENST00000358993,transcript,ENSG00000198573,15.81514679,15.90171404
RGPD4,ENSG00000196862,ENST00000408999,transcript,ENSG00000196862,15.64594787,15.90557587
REXO1L1,ENSG00000205176,ENST00000379010,transcript,ENSG00000205176,38.53796733,15.96176879
FAM27E2,ENSG00000204807,ENST00000377529,transcript,ENSG00000204807,14.4773707,15.97304267
AQP12A,ENSG00000184945,ENST00000337801,transcript,ENSG00000184945,12.61367777,16.08211046
LGALS7B,ENSG00000178934,ENST00000314980,transcript,ENSG00000178934,19.14565628,16.10403373
PRAMEF10,ENSG00000187545,ENST00000235347,transcript,ENSG00000187545,21.15858462,16.13158191
CTRB2,ENSG00000168928,ENST00000303037,transcript,ENSG00000168928,16.71360233,16.14845874
NPIPB11,ENSG00000254206,ENST00000524087,transcript,ENSG00000254206,15.38891535,16.1957322
TNXB,ENSG00000168477,ENST00000451343,transcript,ENSG00000168477,15.4275407,16.21896667
DEFB106A,ENSG00000186579,ENST00000335186,transcript,ENSG00000186579,16.40486117,16.24987287
CXorf48,ENSG00000169551,ENST00000276241,transcript,ENSG00000169551,16.36016779,16.36286062
ADAMTSL2,ENSG00000197859,ENST00000354484,transcript,ENSG00000197859,17.12527647,16.36881017
AL359736.1,ENSG00000205850,ENST00000422229,transcript,ENSG00000205850,16.37484488,16.40336
AC008132.13,ENSG00000161103,ENST00000342005,transcript,ENSG00000161103,22.35074456,16.5767474
